"","gene_name","logFC","pvalue","hit_annotation","LipidProbe"
"56","TUFM",0.254546649,0.021071954,"no hit","8-3 FA"
"57","RPSA",-0.357683695,0.021072576,"no hit","8-3 FA"
"58","TLN2",-0.305779427,0.022152619,"no hit","8-3 FA"
"59","DDX17",0.252000653,0.022245133,"no hit","8-3 FA"
"60","NUP58",0.473841836,0.022339405,"no hit","8-3 FA"
"61","SET",-0.56281675,0.02236266,"no hit","8-3 FA"
"62","PRC1",0.535446535,0.022487253,"no hit","8-3 FA"
"63","EXOSC5",0.479471871,0.024958847,"no hit","8-3 FA"
"64","SHMT2",0.344640052,0.025523984,"no hit","8-3 FA"
"65","DLST",0.258589743,0.026058096,"no hit","8-3 FA"
"66","SDHA",0.369012258,0.026137209,"no hit","8-3 FA"
"67","CTTN",-0.304005411,0.026926577,"no hit","8-3 FA"
"68","PGK1",-0.440398966,0.02705788,"no hit","8-3 FA"
"69","ALDH1B1",0.414177137,0.027462938,"no hit","8-3 FA"
"70","YWHAQ",-0.521487485,0.027516851,"no hit","8-3 FA"
"71","ANP32A",-0.579460873,0.027616749,"no hit","8-3 FA"
"72","IDH3A",0.272664643,0.029659395,"no hit","8-3 FA"
"73","ATP6V1B2",0.239739253,0.029831923,"no hit","8-3 FA"
"74","PPIA",-0.453584476,0.030288069,"no hit","8-3 FA"
"75","TPI1",-0.457533974,0.030385358,"no hit","8-3 FA"
"76","ANP32E",-0.629955665,0.030447316,"no hit","8-3 FA"
"77","DECR1",0.358835155,0.030459461,"no hit","8-3 FA"
"78","STIP1",-0.415087186,0.030633259,"no hit","8-3 FA"
"79","CDK6",-0.321031464,0.030657215,"no hit","8-3 FA"
"80","ATP5A1",0.275987501,0.030717565,"no hit","8-3 FA"
"81","PLD3",0.265282894,0.031527355,"no hit","8-3 FA"
"82","RAB5C",0.297773814,0.031921817,"no hit","8-3 FA"
"83","OGDHL",0.288762253,0.032027499,"no hit","8-3 FA"
"84","ANP32B",-0.541225902,0.032139722,"no hit","8-3 FA"
"85","LMAN1",0.413219764,0.032321876,"no hit","8-3 FA"
"86","PCBP2",-0.286131484,0.032400384,"no hit","8-3 FA"
"87","GDI2",-0.463022109,0.032711284,"no hit","8-3 FA"
"88","NPEPPS",-0.335086209,0.032922287,"no hit","8-3 FA"
"89","NUDT5",-0.557697269,0.033655011,"no hit","8-3 FA"
"90","KTN1",0.414844958,0.033662969,"no hit","8-3 FA"
"91","UQCRC1",0.27683947,0.033818344,"no hit","8-3 FA"
"92","GOT2",0.268182648,0.033975931,"no hit","8-3 FA"
"93","UBE3A",-0.366576738,0.034588243,"no hit","8-3 FA"
"94","CAD",-0.28747107,0.034842588,"no hit","8-3 FA"
"95","GSPT1",-0.357633991,0.034996411,"no hit","8-3 FA"
"96","KDELC2",0.396073454,0.035154496,"no hit","8-3 FA"
"97","HSPA4",-0.510956238,0.035193096,"no hit","8-3 FA"
"98","PGM1",-0.34298367,0.035688893,"no hit","8-3 FA"
"99","PLS3",-0.324965536,0.035927813,"no hit","8-3 FA"
"100","NSUN2",-0.292098391,0.035951345,"no hit","8-3 FA"
"101","TPM1",-0.544423748,0.036646527,"no hit","8-3 FA"
"102","LARS2",0.241089916,0.036648395,"no hit","8-3 FA"
"103","NACA",-0.579752066,0.036798134,"no hit","8-3 FA"
"104","LANCL2",-0.315236054,0.036888125,"no hit","8-3 FA"
"105","RPA1",-0.36063324,0.037089172,"no hit","8-3 FA"
"106","HSD17B4",0.381854197,0.037633237,"no hit","8-3 FA"
"107","ACAD9",0.402252609,0.037660334,"no hit","8-3 FA"
"108","ERH",0.287310424,0.03837691,"no hit","8-3 FA"
"109","VARS",-0.255366014,0.038527989,"no hit","8-3 FA"
"110","WDR77",-0.359120349,0.038950327,"no hit","8-3 FA"
"111","TSFM",0.299561037,0.03904184,"no hit","8-3 FA"
"112","RPS19",-0.350228496,0.039159707,"no hit","8-3 FA"
"113","ETFB",0.221734576,0.039336049,"no hit","8-3 FA"
"114","PDCL3",-0.316972614,0.039527657,"no hit","8-3 FA"
"115","PPIF",0.444173964,0.039925637,"no hit","8-3 FA"
"116","GLRX3",-0.447809882,0.039982487,"no hit","8-3 FA"
"117","DDX21",0.253837921,0.040119735,"no hit","8-3 FA"
"118","PLEC",0.221183561,0.040796117,"no hit","8-3 FA"
"119","CLIC4",-0.36962918,0.041237647,"no hit","8-3 FA"
"120","ACOT9",0.311400267,0.042142903,"no hit","8-3 FA"
"121","BUB3",-0.433023453,0.042411884,"no hit","8-3 FA"
"122","ACAT1",0.28521885,0.042589921,"no hit","8-3 FA"
"123","EEF1D",-0.387528794,0.042690639,"no hit","8-3 FA"
"124","PSME3",-0.261565207,0.043009501,"no hit","8-3 FA"
"125","EPRS",-0.380516825,0.043297137,"no hit","8-3 FA"
"126","HSP90AA1",-0.344244483,0.043748159,"no hit","8-3 FA"
"127","USP5",-0.46094511,0.043879536,"no hit","8-3 FA"
"128","MRPL20",0.310822884,0.043880797,"no hit","8-3 FA"
"129","SMS",-0.359414796,0.044439569,"no hit","8-3 FA"
"130","AKR1C3",-0.382418705,0.04450609,"no hit","8-3 FA"
"131","XRCC5",-0.269581279,0.044546668,"no hit","8-3 FA"
"132","MAPRE3",-0.420098629,0.045849767,"no hit","8-3 FA"
"133","XPOT",-0.383132288,0.045972769,"no hit","8-3 FA"
"134","EIF4G2",-0.28530982,0.047519503,"no hit","8-3 FA"
"135","MTHFD1",-0.279880199,0.04792756,"no hit","8-3 FA"
"136","KIF5B",-0.326297077,0.048244973,"no hit","8-3 FA"
"137","PSMA5",-0.334987291,0.048814498,"no hit","8-3 FA"
"138","FKBP4",-0.427238204,0.048944042,"no hit","8-3 FA"
"139","CASK",0.544903793,0.049037008,"no hit","8-3 FA"
"140","EIF4A1",-0.266282718,0.049524664,"no hit","8-3 FA"
"141","HSPH1",-0.386512008,0.049545814,"no hit","8-3 FA"
"142","RBM14",0.307433932,0.049655373,"no hit","8-3 FA"
"143","RPLP0",-0.221348254,0.050032664,"no hit","8-3 FA"
"144","MIA3",0.282242443,0.050047511,"no hit","8-3 FA"
"145","EIF3D",-0.226016139,0.050079675,"no hit","8-3 FA"
"146","STAG1",0.712302741,0.050134879,"no hit","8-3 FA"
"147","EZR",-0.269361783,0.050264254,"no hit","8-3 FA"
"148","POLDIP2",0.214177359,0.050482429,"no hit","8-3 FA"
"149","RACK1",-0.330348157,0.050593951,"no hit","8-3 FA"
"150","DPP3",-0.438202134,0.050869191,"no hit","8-3 FA"
"151","COPG1",-0.219559085,0.050889763,"no hit","8-3 FA"
"152","LDHB",-0.507346763,0.050904639,"no hit","8-3 FA"
"153","LDHA",-0.374745073,0.051694334,"no hit","8-3 FA"
"154","IMP3",0.479591135,0.051983541,"no hit","8-3 FA"
"155","SEC31A",-0.221109159,0.052016579,"no hit","8-3 FA"
"156","MTHFD1L",0.360007542,0.052821892,"no hit","8-3 FA"
"157","EIF3B",-0.274620625,0.053088827,"no hit","8-3 FA"
"158","MRE11A",0.326161897,0.053399365,"no hit","8-3 FA"
"159","ATP6V1E1",0.218404747,0.053757635,"no hit","8-3 FA"
"160","BPNT1",-0.427000195,0.053835903,"no hit","8-3 FA"
"161","DDX56",0.242543504,0.053860603,"no hit","8-3 FA"
"162","YWHAB",-0.555811092,0.054026531,"no hit","8-3 FA"
"163","MTPAP",0.396988054,0.054370648,"no hit","8-3 FA"
"164","PDCD11",0.349959069,0.054420976,"no hit","8-3 FA"
"165","CNDP2",-0.596649025,0.054753159,"no hit","8-3 FA"
"166","IDH2",0.310040522,0.05549382,"no hit","8-3 FA"
"167","CAPZA1",-0.294889671,0.056812662,"no hit","8-3 FA"
"168","EPB41L2",0.362389108,0.057881633,"no hit","8-3 FA"
"169","RPS9",-0.312840069,0.059158555,"no hit","8-3 FA"
"170","DCTN1",-0.244183933,0.059855759,"no hit","8-3 FA"
"171","RPS12",-0.230557712,0.060629055,"no hit","8-3 FA"
"172","ALDOA",-0.310466028,0.060742583,"no hit","8-3 FA"
"173","GART",-0.30030695,0.061309071,"no hit","8-3 FA"
"174","KIAA1429",0.50940365,0.061424441,"no hit","8-3 FA"
"175","NAXE",-0.388241289,0.061640038,"no hit","8-3 FA"
"176","MGEA5",-0.349570567,0.061759079,"no hit","8-3 FA"
"177","NUP54",0.265511995,0.063618394,"no hit","8-3 FA"
"178","OSBPL1A",-0.432951457,0.063772355,"no hit","8-3 FA"
"179","ARHGDIA",-0.490998159,0.063856189,"no hit","8-3 FA"
"180","CPSF1",0.271930512,0.064078841,"no hit","8-3 FA"
"181","PTGES3",-0.580942275,0.064283721,"no hit","8-3 FA"
"182","DPYSL3",-0.280297205,0.065197079,"no hit","8-3 FA"
"183","HEATR1",0.450506482,0.065710095,"no hit","8-3 FA"
"184","DIS3",-0.293707631,0.065915224,"no hit","8-3 FA"
"185","OTUB1",-0.405116247,0.067031817,"no hit","8-3 FA"
"186","SQRDL",0.230784634,0.067216274,"no hit","8-3 FA"
"187","NXN",-0.40431336,0.067729178,"no hit","8-3 FA"
"188","TGM3",0.694220502,0.068191327,"no hit","8-3 FA"
"189","NRDC",-0.310109395,0.068474567,"no hit","8-3 FA"
"190","PDHA1",0.2260874,0.068480873,"no hit","8-3 FA"
"191","IVD",0.289585189,0.068546069,"no hit","8-3 FA"
"192","GSTP1",-0.638598128,0.068679952,"no hit","8-3 FA"
"193","ACADSB",0.275059995,0.068866248,"no hit","8-3 FA"
"194","S100A10",0.298790701,0.06951289,"no hit","8-3 FA"
"195","SFPQ",0.199967054,0.070111488,"no hit","8-3 FA"
"196","DNAJC3",0.299021294,0.070917654,"no hit","8-3 FA"
"197","LASP1",-0.600682133,0.071467814,"no hit","8-3 FA"
"198","YWHAH",-0.373091141,0.071485293,"no hit","8-3 FA"
"199","UBA1",-0.307398097,0.07174817,"no hit","8-3 FA"
"200","NOP56",0.381309721,0.072134805,"no hit","8-3 FA"
"201","ARHGAP1",-0.31263425,0.073296996,"no hit","8-3 FA"
"202","NAT10",0.310899117,0.073778952,"no hit","8-3 FA"
"203","YBX1",-0.234878862,0.073891786,"no hit","8-3 FA"
"204","PUS1",0.231663233,0.074209997,"no hit","8-3 FA"
"205","PPP1CC",0.241614461,0.074212095,"no hit","8-3 FA"
"206","FH",0.296843119,0.074612139,"no hit","8-3 FA"
"207","XPNPEP1",-0.378098891,0.075519937,"no hit","8-3 FA"
"208","GMPS",-0.30069099,0.076628138,"no hit","8-3 FA"
"209","BCCIP",-0.291752304,0.076841462,"no hit","8-3 FA"
"210","THOC3",0.200193849,0.076955922,"no hit","8-3 FA"
"211","CS",0.251934767,0.078103045,"no hit","8-3 FA"
"212","EIF1AY|EIF1AX",-0.301845317,0.079384532,"no hit","8-3 FA"
"213","CLIC1",-0.39583859,0.080511305,"no hit","8-3 FA"
"214","DARS2",0.228456546,0.080684847,"no hit","8-3 FA"
"215","PLOD1",0.282766883,0.080791153,"no hit","8-3 FA"
"216","SYNE1",0.212972685,0.081069686,"no hit","8-3 FA"
"217","EEF1B2",-0.453248566,0.081286529,"no hit","8-3 FA"
"218","ARCN1",-0.220904716,0.081904526,"no hit","8-3 FA"
"219","STRBP",0.269041407,0.082172644,"no hit","8-3 FA"
"220","ELAC2",0.280032705,0.082571729,"no hit","8-3 FA"
"221","CPOX",0.244253776,0.082586948,"no hit","8-3 FA"
"222","PYCR1",0.26318616,0.082854714,"no hit","8-3 FA"
"223","SSB",-0.435706345,0.082901009,"no hit","8-3 FA"
"224","PFN1",-0.469984479,0.083101982,"no hit","8-3 FA"
"225","TPM3",-0.43857413,0.083209732,"no hit","8-3 FA"
"226","COQ9",0.216404027,0.083420011,"no hit","8-3 FA"
"227","ANXA1",-0.425898979,0.083656265,"no hit","8-3 FA"
"228","DAP3",0.44748198,0.083759465,"no hit","8-3 FA"
"229","MAP1B",-0.599251904,0.083931593,"no hit","8-3 FA"
"230","SUPV3L1",0.410808795,0.084184929,"no hit","8-3 FA"
"231","MSN",-0.222946787,0.084458895,"no hit","8-3 FA"
"232","ALDH3A2",0.326915224,0.084574922,"no hit","8-3 FA"
"233","PRKCSH",-0.780585506,0.085098516,"no hit","8-3 FA"
"234","SAE1",-0.435528005,0.085634632,"no hit","8-3 FA"
"235","DNAJC7",-0.260305755,0.087091948,"no hit","8-3 FA"
"236","MALT1",-0.334065002,0.087623786,"no hit","8-3 FA"
"237","HDLBP",-0.210927637,0.087685144,"no hit","8-3 FA"
"238","CAP1",-0.312296798,0.088251603,"no hit","8-3 FA"
"239","ETF1",-0.279421241,0.088504673,"no hit","8-3 FA"
"240","PSMA3",-0.273426283,0.088597391,"no hit","8-3 FA"
"241","IPO7",-0.210643731,0.088774372,"no hit","8-3 FA"
"242","BYSL",0.248930979,0.088805333,"no hit","8-3 FA"
"243","ENOPH1",-0.336813261,0.089905165,"no hit","8-3 FA"
"244","TNKS1BP1",-0.203787692,0.089913264,"no hit","8-3 FA"
"245","PFAS",-0.337751345,0.089960841,"no hit","8-3 FA"
"246","EEA1",0.17988098,0.090865373,"no hit","8-3 FA"
"247","HOGA1",0.318003155,0.0912059,"no hit","8-3 FA"
"248","CUL1",-0.187844572,0.091712885,"no hit","8-3 FA"
"249","EIF4E",-0.209505457,0.092446969,"no hit","8-3 FA"
"250","CLYBL",0.269921052,0.092638011,"no hit","8-3 FA"
"251","PRDX6",-0.778226623,0.093789182,"no hit","8-3 FA"
"252","PMPCB",0.186181822,0.094385399,"no hit","8-3 FA"
"253","CLTB",-0.374057972,0.096095603,"no hit","8-3 FA"
"254","THOC1",0.337578015,0.096881806,"no hit","8-3 FA"
"255","AHCY",-0.275566933,0.097113151,"no hit","8-3 FA"
"256","HDGF",-0.385119806,0.097170608,"no hit","8-3 FA"
"257","PPID",-0.395324057,0.097572795,"no hit","8-3 FA"
"258","AARS",-0.652922894,0.097942535,"no hit","8-3 FA"
"259","MRPL38",0.329476194,0.098078124,"no hit","8-3 FA"
"260","DHX9",0.360589071,0.098842808,"no hit","8-3 FA"
"261","PSMC1",-0.212739194,0.098913564,"no hit","8-3 FA"
"262","THOC2",0.312131997,0.099327815,"no hit","8-3 FA"
"263","PPP2R1A",-0.209852965,0.099786478,"no hit","8-3 FA"
"264","MARS2",0.231989531,0.099861405,"no hit","8-3 FA"
"265","EIF3M",-0.2689846,0.099888713,"no hit","8-3 FA"
"266","PICALM",-0.181112554,0.100079806,"no hit","8-3 FA"
"267","SGTA",-0.381366703,0.100843606,"no hit","8-3 FA"
"268","HSPB1",-0.521428287,0.100983855,"no hit","8-3 FA"
"269","ENO1",-0.363317988,0.101061296,"no hit","8-3 FA"
"270","RARS",-0.189323979,0.101307501,"no hit","8-3 FA"
"271","PRKAR1A",-0.18694517,0.101383585,"no hit","8-3 FA"
"272","LETM1",0.239752872,0.101672599,"no hit","8-3 FA"
"273","SQSTM1",0.195219496,0.10189258,"no hit","8-3 FA"
"274","PABPC1",-0.195966844,0.102563231,"no hit","8-3 FA"
"275","IARS2",0.243597404,0.102961043,"no hit","8-3 FA"
"276","LAMB1",0.261583225,0.103623841,"no hit","8-3 FA"
"277","SF3B3",0.335992054,0.10365629,"no hit","8-3 FA"
"278","RPL5",-0.308957578,0.103995308,"no hit","8-3 FA"
"279","RRM2",-0.426661964,0.104369032,"no hit","8-3 FA"
"280","PTMA",-0.636065832,0.10441191,"no hit","8-3 FA"
"281","ABCE1",-0.346934124,0.104504818,"no hit","8-3 FA"
"282","NUDCD1",-0.257471856,0.10468358,"no hit","8-3 FA"
"283","LEO1",-0.21782916,0.106054132,"no hit","8-3 FA"
"284","TLN1",-0.232887424,0.106225453,"no hit","8-3 FA"
"285","DNAJB11",0.289944179,0.106671332,"no hit","8-3 FA"
"286","PSMA1",-0.223759271,0.1082755,"no hit","8-3 FA"
"287","RAD23B",-0.445717672,0.108415429,"no hit","8-3 FA"
"288","SNRNP200",0.218717214,0.109957136,"no hit","8-3 FA"
"289","PPP5C",-0.339124594,0.110529965,"no hit","8-3 FA"
"290","CAPNS1",-0.431446067,0.110770473,"no hit","8-3 FA"
"291","EIF4G1",-0.282797603,0.11121168,"no hit","8-3 FA"
"292","ALDH18A1",0.255698575,0.111384139,"no hit","8-3 FA"
"293","NUCB2|Nucb2|HEL-S-109",0.250248595,0.111663881,"no hit","8-3 FA"
"294","TPT1",-0.31207408,0.111771784,"no hit","8-3 FA"
"295","GLRX5",0.173959823,0.112532068,"no hit","8-3 FA"
"296","FKBP9",0.204196818,0.112727561,"no hit","8-3 FA"
"297","IDH1",-0.479094075,0.112992472,"no hit","8-3 FA"
"298","MAPK1",-0.247976312,0.113058729,"no hit","8-3 FA"
"299","LRPPRC",0.2750856,0.114102897,"no hit","8-3 FA"
"300","RAB7A",0.172042883,0.11432536,"no hit","8-3 FA"
"301","TIAL1",-0.226410341,0.114586691,"no hit","8-3 FA"
"302","AARS2",0.263801338,0.11485035,"no hit","8-3 FA"
"303","HPRT1",-0.454895519,0.114971368,"no hit","8-3 FA"
"304","TRNT1",0.223547508,0.115304669,"no hit","8-3 FA"
"305","SUCLG2",0.183666532,0.115326064,"no hit","8-3 FA"
"306","ISYNA1",-0.255033925,0.115642443,"no hit","8-3 FA"
"307","PAOX",0.241453861,0.115872799,"no hit","8-3 FA"
"308","MYH9",-0.328311101,0.116147851,"no hit","8-3 FA"
"309","SERBP1",-0.205803538,0.116629419,"no hit","8-3 FA"
"310","NUP133",0.285650338,0.116908873,"no hit","8-3 FA"
"311","PRDX3",0.325553784,0.116990923,"no hit","8-3 FA"
"312","YWHAE",-0.469466039,0.1175043,"no hit","8-3 FA"
"313","FDPS",-0.250946786,0.117537707,"no hit","8-3 FA"
"314","PPP4R3A",-0.204032207,0.117540431,"no hit","8-3 FA"
"315","HK2",0.204735159,0.118046886,"no hit","8-3 FA"
"316","PPP1CB",0.294101786,0.118784847,"no hit","8-3 FA"
"317","PML",0.208074961,0.119024631,"no hit","8-3 FA"
"318","TST",0.156648379,0.119681927,"no hit","8-3 FA"
"319","PSME1",-0.250585236,0.119989919,"no hit","8-3 FA"
"320","SEC23IP",0.202771135,0.120261817,"no hit","8-3 FA"
"321","INTS3",0.309806022,0.120716474,"no hit","8-3 FA"
"322","OTULIN",-0.287131279,0.121092508,"no hit","8-3 FA"
"323","EWSR1",-0.326328652,0.121146187,"no hit","8-3 FA"
"324","GTPBP4",0.255121272,0.122126977,"no hit","8-3 FA"
"325","MUT",0.243612892,0.122166157,"no hit","8-3 FA"
"326","PPM1G",-0.456766079,0.122613642,"no hit","8-3 FA"
"327","RPLP1",-0.259445336,0.122926386,"no hit","8-3 FA"
"328","GSS",-0.463237999,0.124385535,"no hit","8-3 FA"
"329","ALDH1A1",-0.384609439,0.125697124,"no hit","8-3 FA"
"330","NARS",-0.333125803,0.126196055,"no hit","8-3 FA"
"331","NUMA1",0.285522145,0.126398253,"no hit","8-3 FA"
"332","HNRNPH3",0.164548206,0.126991561,"no hit","8-3 FA"
"333","PKM",-0.364881905,0.127058507,"no hit","8-3 FA"
"334","AGPS",0.275661425,0.127172877,"no hit","8-3 FA"
"335","ALDH4A1",0.250207301,0.128218969,"no hit","8-3 FA"
"336","IPO5",-0.211561514,0.128310197,"no hit","8-3 FA"
"337","EEF1A1|EEF1A1P5",-0.406180875,0.128511861,"no hit","8-3 FA"
"338","P3H1",0.195532998,0.129173983,"no hit","8-3 FA"
"339","ACSL4",0.314994728,0.129411997,"no hit","8-3 FA"
"340","VARS2",0.239158209,0.129612704,"no hit","8-3 FA"
"341","WDR3",0.261705218,0.130142581,"no hit","8-3 FA"
"342","EXOSC10",0.19375858,0.130535832,"no hit","8-3 FA"
"343","NDUFS3",0.273692225,0.130661804,"no hit","8-3 FA"
"344","IDE",-0.192317342,0.131706693,"no hit","8-3 FA"
"345","FARSB",-0.34433387,0.132080624,"no hit","8-3 FA"
"346","UGDH",-0.329964592,0.132472118,"no hit","8-3 FA"
"347","E7EVH7|KLC1",-0.223085865,0.13266315,"no hit","8-3 FA"
"348","PPA1",-0.453318799,0.132716307,"no hit","8-3 FA"
"349","HSP90AB1",-0.313817436,0.132927106,"no hit","8-3 FA"
"350","PLS1",-0.265538255,0.133266974,"no hit","8-3 FA"
"351","MTPN",-0.421206401,0.133950578,"no hit","8-3 FA"
"352","UAP1",-0.423052673,0.134252447,"no hit","8-3 FA"
"353","ACADVL",0.426186507,0.134322359,"no hit","8-3 FA"
"354","WDR75",0.358762176,0.134821697,"no hit","8-3 FA"
"355","ACADM",-0.173270315,0.13536938,"no hit","8-3 FA"
"356","DDX18",0.236739735,0.136114132,"no hit","8-3 FA"
"357","HNRNPA1",0.263004497,0.137224135,"no hit","8-3 FA"
"358","ARID1A",0.337215582,0.137335225,"no hit","8-3 FA"
"359","PSMD2",-0.234091864,0.138883157,"no hit","8-3 FA"
"360","GLS",0.408027769,0.139643551,"no hit","8-3 FA"
"361","MRPS23",0.146539759,0.140083724,"no hit","8-3 FA"
"362","PCCB",0.197107872,0.140345102,"no hit","8-3 FA"
"363","PRMT5",-0.217645185,0.140572595,"no hit","8-3 FA"
"364","TPR",0.173315288,0.140813431,"no hit","8-3 FA"
"365","EIF5B",-0.206334594,0.140915804,"no hit","8-3 FA"
"366","IMPDH2",-0.348500355,0.141147345,"no hit","8-3 FA"
"367","CDC5L",0.281572058,0.141962489,"no hit","8-3 FA"
"368","EIF5",-0.307349779,0.142562524,"no hit","8-3 FA"
"369","TALDO1",-0.532257464,0.142674958,"no hit","8-3 FA"
"370","PEBP1",-0.450468011,0.143300144,"no hit","8-3 FA"
"371","PARN",0.248295528,0.143585336,"no hit","8-3 FA"
"372","ST13|ST13P4",-0.315849574,0.143667453,"no hit","8-3 FA"
"373","GLDC",0.202490746,0.146532006,"no hit","8-3 FA"
"374","PCBP1",-0.188562681,0.148322771,"no hit","8-3 FA"
"375","MPHOSPH8",0.268807733,0.148465633,"no hit","8-3 FA"
"376","CAPN2",-0.357541341,0.148918021,"no hit","8-3 FA"
"377","ACO2",0.22661885,0.14989977,"no hit","8-3 FA"
"378","CTSL",0.170315841,0.151918737,"no hit","8-3 FA"
"379","RAN",-0.240587109,0.152279676,"no hit","8-3 FA"
"380","DDX39B",0.32407381,0.152360419,"no hit","8-3 FA"
"381","SMU1",0.229760515,0.152731165,"no hit","8-3 FA"
"382","CYB5R3",0.333111132,0.152832622,"no hit","8-3 FA"
"383","CWC22",0.258295147,0.15300647,"no hit","8-3 FA"
"384","SYMPK",0.499543496,0.153506012,"no hit","8-3 FA"
"385","CLUH",-0.166331747,0.153742272,"no hit","8-3 FA"
"386","NXF1",0.432170994,0.155148069,"no hit","8-3 FA"
"387","NOP58",0.240910065,0.155155046,"no hit","8-3 FA"
"388","EIF4A2",-0.315122231,0.155295314,"no hit","8-3 FA"
"389","SOD2",0.4345791,0.156726761,"no hit","8-3 FA"
"390","PABPC4",-0.227999026,0.156776761,"no hit","8-3 FA"
"391","SMC1A",0.271406638,0.157218516,"no hit","8-3 FA"
"392","DDX27",0.201444362,0.157390644,"no hit","8-3 FA"
"393","PPP2R2A",-0.357550754,0.158738784,"no hit","8-3 FA"
"394","RAB2A|DKFZp313C1541|RAB2B",0.207166239,0.158924222,"no hit","8-3 FA"
"395","NOL11",0.188109255,0.159816636,"no hit","8-3 FA"
"396","EPS15L1",-0.269067419,0.159902794,"no hit","8-3 FA"
"397","AKR1A1",-0.398216698,0.160069415,"no hit","8-3 FA"
"398","RPL30",-0.156647385,0.16008129,"no hit","8-3 FA"
"399","OGDH",0.17509146,0.160571809,"no hit","8-3 FA"
"400","HECTD1",-0.180064436,0.160619439,"no hit","8-3 FA"
"401","CHD8|CHD9|CHD7",0.417157327,0.160809399,"no hit","8-3 FA"
"402","IARS",-0.154461102,0.161145199,"no hit","8-3 FA"
"403","DDX5",0.307682649,0.161670849,"no hit","8-3 FA"
"404","CSDE1",-0.169603932,0.162348582,"no hit","8-3 FA"
